company,date,description,location,title
Megamind Enterprises,2023-02-10," Job Title: Work-from-Home Data Entry SpecialistJob Description: We are seeking a highly motivated and detail-oriented data entry specialist to join our company. This is a remote, work-from-home position that provides the opportunity to work from the comfort of your own home, with flexible hours.Responsibilities:Accurately enter data into our databases and systems.Meet established productivity and accuracy goalsRequirements:Excellent attention to detail and accuracy.Basic computer skills, including proficiency in Microsoft .Ability to work flexible hours, including evenings and weekends as needed.If you are a highly organized and detail-oriented individual who is looking for a flexible and rewarding work so please contact with us","Temp. WFH - Vijayawada, Bangalore/Bengaluru, Mumbai (All Areas)",Work-from-Home Data Entry Specialist/Remote Job-Part Time/Online
Megamind Enterprises,2023-02-17,"as a data entry operator,candidates should possess strong attention to detail,excellent typing skills,and the ability to work independently.  A basic understanding of computer systems and data entry software is also required","Temp. WFH - Kochi/Cochin, Hyderabad/Secunderabad, Chennai",Work At Home/Remote Job/Part Time/Online-Offline Job/ Data Entry
Infosoft Teksolutions,2023-02-18,"Minimum Requirements:  . . Education: BTech / BE (Electronics,Mechanical,Electrical),BCA,or similar field Having a computer / laptop with at least 4GB RAM (preferably 8GB) 6 Months of previous experience in staffing / BPO/RPO / KPO in the voice / call/chat process Having a good internet connection ( broadband /WiFi with 50-70 MBPS speed)",Permanent Remote,US Technical Recruiter (Permanent Remote - Work from Home)
Trigent Software,2023-02-21,General shift Max Budget Fresher 25000 INR Any Graduate Candidate with good communication skill and typing skill mandate,Permanent Remote,Chat Support - PAN India - Remote
Anjraj Talent Network,2023-01-23,Graduation mandatory Required Experience: 1-4 Years You Must be having Prior Exp in BPO- Backend hiring Minimum one year experience BPO With all documents (Qualification & Experience ),"Temp. WFH - Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Gurgaon/Gurugram, Jaipur, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",Mega BPO Hiring Voice Process -Tech Mahindra / Remote-  Work From Home
GAO Tek,2023-01-25,"Tasks:  business & partnership development using LinkedIn, Facebook, email, Google research etc.","Temp. WFH - Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)","Remote- Data Entry Internship For Students, Freshers"
CMS It Services,2023-01-30,"  Configure, maintain and implement IT interfaces to other systems in a customer environmentDeveloping and training of new team members is also part of your roleResponsible for remotely resolving the technical issues of our customersResponsible for remotely resolving the technical issues of our customersMonitor storage and backup systems for efficiency and      utilizationProvide phone and email support to clients and internal      resources.Thanks & Regards,Harshada PatilHuman Resource Teamkindly share your C.V on harshada1.patil@cmsitservices.comContact/whatsapp on 9136593933",Navi Mumbai,Remote Support Engineer
GAO Tek,2023-02-19,Virtual/remote experienced HR for performance evaluations & operations for a USA-based leading firm to sell its IT products to US customers. Potential with high pays.,"Temp. WFH - Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",Entry Level HR Assistants - Remote (Full Time)
GAO Group,2023-02-19,"Virtual/remote IT tech support for sales, business development for a USA-based leading firm to sell its IT products to US customers. Potential with high pays.
Freshers are encouraged to apply.","Temp. WFH - Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",Jr. Tech Support Intern - Remote/Virtual (Part Time)
Amber Internet Solutions,2023-02-16," About AmberStudent:Long-term accommodation booking platform for students (think booking.com for student housing). Amber helps 80M students worldwide, find and book full-time accommodations near their universities, without the hassle of negotiation, non-standardised and cumbersome paperwork, and broken payment process. We are the leading student housing platform globally, with 1M student housing units listed in 6 countries and across 80 cities. We are growing rapidly and targeting $1B in annual gross bookings value by 2023.If you are passionate about making international mobility and living seamless and accessible, then - Join us in building the future of student housing.After applying for the position, please copy and paste the below assignment link to complete the assignment.https://docs.google.com/forms/d/e/1FAIpQLScl91Phn7lYyxfGQb9wOKSciDKi2kLIzPbH45w07jSqmN_9uA/viewformKey Responsibilities:-Perform outbound sales activities for booking students or other assigned user group for their accommodation for short term or long term stayAct as an aggregator between the property managements and the studentsCreate an excellent rapport with the assigned demographic to ensure smooth sales cycleMaintain a solid conversion ratePerform various tasks related to completing bookings during all the timesConstantly communicate with the assigned leads via WA, Email and other integrated tools on CRM.Exhibit great customer service and be a part of a high performing team to achieve QoQ and YoY growth collectivelyAbility to perform under pressure and self motivated to complete assigned targets within a stipulated timeSkills required:-Excellent verbal and written communication skills in neutral EnglishActive listening skillsGood time management and planning skillsObjection handling skillsStrategic prospecting skillsNegotiation skillsGood call closing techniquesProficiency in CRM or other similar softwaresQualifications:-Education level - GraduateMinimum 70% required in academicsExperience - 0 to 3 yearsExperience in tele sales or similar background will be a plusPreferred industry experience in real estate, hospitality, business development or customer serviceUnderstanding of the UK market in terms of geography and demographics will be a plusWhat will you get from amber?Rapid career growth (can skip intermediate levels)Amazing work culture (trust us when we say this!)Employee wellbeing policies (at the best standard)",Permanent Remote,Global Sales Associate (Remote)-Pune
Amber Internet Solutions,2023-02-16," About AmberStudent:Long-term accommodation booking platform for students (think booking.com for student housing). Amber helps 80M students worldwide, find and book full-time accommodations near their universities, without the hassle of negotiation, non-standardised and cumbersome paperwork, and broken payment process. We are the leading student housing platform globally, with 1M student housing units listed in 6 countries and across 80 cities. We are growing rapidly and targeting $1B in annual gross bookings value by 2023.If you are passionate about making international mobility and living seamless and accessible, then - Join us in building the future of student housing.After applying for the position, please copy and paste the below assignment link to complete the assignment.https://docs.google.com/forms/d/e/1FAIpQLScl91Phn7lYyxfGQb9wOKSciDKi2kLIzPbH45w07jSqmN_9uA/viewformKey Responsibilities:-Perform outbound sales activities for booking students or other assigned user group for their accommodation for short term or long term stayAct as an aggregator between the property managements and the studentsCreate an excellent rapport with the assigned demographic to ensure smooth sales cycleMaintain a solid conversion ratePerform various tasks related to completing bookings during all the timesConstantly communicate with the assigned leads via WA, Email and other integrated tools on CRM.Exhibit great customer service and be a part of a high performing team to achieve QoQ and YoY growth collectivelyAbility to perform under pressure and self motivated to complete assigned targets within a stipulated timeSkills required:-Excellent verbal and written communication skills in neutral EnglishActive listening skillsGood time management and planning skillsObjection handling skillsStrategic prospecting skillsNegotiation skillsGood call closing techniquesProficiency in CRM or other similar softwaresQualifications:-Education level - GraduateMinimum 70% required in academicsExperience - 0 to 3 yearsExperience in tele sales or similar background will be a plusPreferred industry experience in real estate, hospitality, business development or customer serviceUnderstanding of the UK market in terms of geography and demographics will be a plusWhat will you get from amber?Rapid career growth (can skip intermediate levels)Amazing work culture (trust us when we say this!)Employee wellbeing policies (at the best standard)",Permanent Remote,Global Sales Associate (Remote)
Amber Internet Solutions,2023-02-16," About AmberStudent:Long-term accommodation booking platform for students (think booking.com for student housing). Amber helps 80M students worldwide, find and book full-time accommodations near their universities, without the hassle of negotiation, non-standardised and cumbersome paperwork, and broken payment process. We are the leading student housing platform globally, with 1M student housing units listed in 6 countries and across 80 cities. We are growing rapidly and targeting $1B in annual gross bookings value by 2023.If you are passionate about making international mobility and living seamless and accessible, then - Join us in building the future of student housing.After applying for the position, please copy and paste the below assignment link to complete the assignment.https://docs.google.com/forms/d/e/1FAIpQLScl91Phn7lYyxfGQb9wOKSciDKi2kLIzPbH45w07jSqmN_9uA/viewformKey Responsibilities:-Perform outbound sales activities for booking students or other assigned user group for their accommodation for short term or long term stayAct as an aggregator between the property managements and the studentsCreate an excellent rapport with the assigned demographic to ensure smooth sales cycleMaintain a solid conversion ratePerform various tasks related to completing bookings during all the timesConstantly communicate with the assigned leads via WA, Email and other integrated tools on CRM.Exhibit great customer service and be a part of a high performing team to achieve QoQ and YoY growth collectivelyAbility to perform under pressure and self motivated to complete assigned targets within a stipulated timeSkills required:-Excellent verbal and written communication skills in neutral EnglishActive listening skillsGood time management and planning skillsObjection handling skillsStrategic prospecting skillsNegotiation skillsGood call closing techniquesProficiency in CRM or other similar softwaresQualifications:-Education level - GraduateMinimum 70% required in academicsExperience - 0 to 3 yearsExperience in tele sales or similar background will be a plusPreferred industry experience in real estate, hospitality, business development or customer serviceUnderstanding of the UK market in terms of geography and demographics will be a plusWhat will you get from amber?Rapid career growth (can skip intermediate levels)Amazing work culture (trust us when we say this!)Employee wellbeing policies (at the best standard)",Permanent Remote,Global Sales Associate (Remote)-Delhi
Amber Internet Solutions,2023-02-16," About AmberStudent:Long-term accommodation booking platform for students (think booking.com for student housing). Amber helps 80M students worldwide, find and book full-time accommodations near their universities, without the hassle of negotiation, non-standardised and cumbersome paperwork, and broken payment process. We are the leading student housing platform globally, with 1M student housing units listed in 6 countries and across 80 cities. We are growing rapidly and targeting $1B in annual gross bookings value by 2023.If you are passionate about making international mobility and living seamless and accessible, then - Join us in building the future of student housing.After applying for the position, please copy and paste the below assignment link to complete the assignment.https://docs.google.com/forms/d/e/1FAIpQLScl91Phn7lYyxfGQb9wOKSciDKi2kLIzPbH45w07jSqmN_9uA/viewformKey Responsibilities:-Perform outbound sales activities for booking students or other assigned user group for their accommodation for short term or long term stayAct as an aggregator between the property managements and the studentsCreate an excellent rapport with the assigned demographic to ensure smooth sales cycleMaintain a solid conversion ratePerform various tasks related to completing bookings during all the timesConstantly communicate with the assigned leads via WA, Email and other integrated tools on CRM.Exhibit great customer service and be a part of a high performing team to achieve QoQ and YoY growth collectivelyAbility to perform under pressure and self motivated to complete assigned targets within a stipulated timeSkills required:-Excellent verbal and written communication skills in neutral EnglishActive listening skillsGood time management and planning skillsObjection handling skillsStrategic prospecting skillsNegotiation skillsGood call closing techniquesProficiency in CRM or other similar softwaresQualifications:-Education level - GraduateMinimum 70% required in academicsExperience - 0 to 3 yearsExperience in tele sales or similar background will be a plusPreferred industry experience in real estate, hospitality, business development or customer serviceUnderstanding of the UK market in terms of geography and demographics will be a plusWhat will you get from amber?Rapid career growth (can skip intermediate levels)Amazing work culture (trust us when we say this!)Employee wellbeing policies (at the best standard)",Permanent Remote,Global Sales Associate (Remote)-Bangalore
Amber Internet Solutions,2023-02-16," About AmberStudent:Long-term accommodation booking platform for students (think booking.com for student housing). Amber helps 80M students worldwide, find and book full-time accommodations near their universities, without the hassle of negotiation, non-standardised and cumbersome paperwork, and broken payment process. We are the leading student housing platform globally, with 1M student housing units listed in 6 countries and across 80 cities. We are growing rapidly and targeting $1B in annual gross bookings value by 2023.If you are passionate about making international mobility and living seamless and accessible, then - Join us in building the future of student housing.After applying for the position, please copy and paste the below assignment link to complete the assignment.https://docs.google.com/forms/d/e/1FAIpQLScl91Phn7lYyxfGQb9wOKSciDKi2kLIzPbH45w07jSqmN_9uA/viewformKey Responsibilities:-Perform outbound sales activities for booking students or other assigned user group for their accommodation for short term or long term stayAct as an aggregator between the property managements and the studentsCreate an excellent rapport with the assigned demographic to ensure smooth sales cycleMaintain a solid conversion ratePerform various tasks related to completing bookings during all the timesConstantly communicate with the assigned leads via WA, Email and other integrated tools on CRM.Exhibit great customer service and be a part of a high performing team to achieve QoQ and YoY growth collectivelyAbility to perform under pressure and self motivated to complete assigned targets within a stipulated timeSkills required:-Excellent verbal and written communication skills in neutral EnglishActive listening skillsGood time management and planning skillsObjection handling skillsStrategic prospecting skillsNegotiation skillsGood call closing techniquesProficiency in CRM or other similar softwaresQualifications:-Education level - GraduateMinimum 70% required in academicsExperience - 0 to 3 yearsExperience in tele sales or similar background will be a plusPreferred industry experience in real estate, hospitality, business development or customer serviceUnderstanding of the UK market in terms of geography and demographics will be a plusWhat will you get from amber?Rapid career growth (can skip intermediate levels)Amazing work culture (trust us when we say this!)Employee wellbeing policies (at the best standard)",Permanent Remote,Global Sales Associate (Remote)-Mumbai
Coalition Technologies,2023-02-17,"YOU SHOULD HAVE:  . . A strong understanding of all SEO best practices such as SEO friendly site architecture,tags,coding,site speed optimization,link building,and more After successfully completing the initial training period you should also be able to perform technical SEO analysis to uncover errors as well as provide and implement the appropriate solutions","Kolkata, Hyderabad/Secunderabad, Ahmedabad, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",SEO Analyst - Remote
Megamind Enterprises,2023-01-28,Need Basic Typing Speed.Fresher's/ Experiences are Welcome.Full /Part-Time JobsGood Communication Skills.Salary Negotiable To Applicant  After Selection,"Temp. WFH - Jaipur, Vadodara, Mumbai (All Areas)",Hiring For Job - Computer Operator - Remote Job - Back Office
Megamind Enterprises,2023-02-02,Experience :- 0-3 years (Freshers also can apply)Required : . . High level of positive attitudeLanguages : - Good English Laptop/ Desktop / Android Phone with Good Internet Connection,"Temp. WFH - Tirupati, Visakhapatnam, Bangalore/Bengaluru",Data Entry Services - WFH/Remote Job- Part Time/Full Time - Hiring
GAO Group,2023-02-13,"Virtual/remote IT tech support for sales, Amazon, Amazon sales, business development for a USA-based leading firm to sell its IT products to US customers. Potential with high pays.
Freshers are encouraged to apply.","Temp. WFH - Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",Remote- Electronic Hardware B2B Sales Staff - Entry Level
Arise Solutions,2023-02-19,"A Technical Support Specialist provides assistance to customers who are having technical problems with software, hardware, or other computer-related technologies.",Ahmedabad,Technical Support Engineer - (Ahmedabad-Voice/Remote)
GAO Group,2023-02-05,"Tasks: Business development, lead generation, partnership using LinkedIn, Facebook, email. 
A USA company offers part time & remote/virtual interns/trainees to students & freshers, housewives. Benefits include 3 certificates & a job offer.","Temp. WFH - Kolkata, Chennai, Bangalore/Bengaluru",Remote- Data Entry Internship For Freshers & Students
GAO Tek,2023-01-24,"Virtual/remote sales managers, business development for a USA-based leading firm to sell its IT products to US & Canada customers. Potential with high pays.","Temp. WFH - Hyderabad/Secunderabad, Delhi / NCR, Mumbai (All Areas)",Fresher- Business Development Staff- Remote/Virtual (FullTime)
Monetizemore,2023-02-13,"Integration of services to maximize ad revenues and maintain strong user experience . . . . . . . . . . : A MonetizeMore developer is proficient in all stages of web development,from conception to deployment",Permanent Remote,Web Developer Intern (Remote)
Lurnweb Academy,2022-10-14,"Ideally proficiency in English + Any 1 Indian language. . . . . . . . . . Good Problem Solving Skills. . . . . . . . . . Ability to work well with a team and without supervision. . . . . . . . . . As this will be a work from home position,candidates will need a stable internet connection and a laptop / computerIn fact,we even accept applicants who do not have any college background",remote,Data Entry Intern
Adit,2023-01-31,"Job Description:

Listen to recorded calls from US clients
Understand the conversation between US Patients and Doctors.
Verify the appointments of patients with healthcare professionals
Excellent written and verbal communication skills",Permanent Remote,Fresher Process Associate - Remote
Sunrise Job Consultancy,2023-02-17,"• Transforming data analytics & visualization prototypes and applying appropriate ML
algorithms and tools.
• Run machine learning tests and experiments
• Train and retrain systems when necessary
• Extend existing ML libraries and frameworks",Permanent Remote,Data Science Engineer || Remote Work
2coms,2023-02-20,Day Shift Undergraduates can be hired/ 10+2,"Navi Mumbai, Remote Job",Chat Process/content Moderator (Day Shift)
Firstprinciples Management,2023-02-13,"This is 6months Internship Program,100% Remote Internship brief . . We are looking for an enthusiastic marketing intern to join our marketing department and provide creative ideas to help achieve our goalsThis internship will help you acquire marketing skills and provide you with knowledge of various marketing strategiesCurrent enrollment in a related BS or Masters degree",Any - India,Internship | Remote
Paperpedia,2023-02-08,"Masters Candidates should have 60% above through-out their academicsThe candidates are required to:  . Good command over the subjectGood communication skills,both written and spoken",Permanent Remote,Full-Time Academic Writer (PapertTust)-Remote
UprightHC Solutions,2023-01-31,"Should be proficient in handling all matters professional and personal related to the Founders Highly proficient and comfortable with the use of technology for productivity,communications,and experience Experience of supporting a senior executive of a tech company or fast-growing startup High level of confidentiality,professionalism,and good judgment",Permanent Remote,Urgent Opening - Executive Assistant- Remote
